index,name,url,language,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
962,schemaorg,https://github.com/schemaorg/schemaorg,HTML,4012,85,0,104,4,9.9,5,147,72,2.0,486,0.61118
791,unison,https://github.com/unisonweb/unison,Haskell,3566,89,0,65,6,16.7,6,100,57,1.4,420,0.61067
1128,next-auth,https://github.com/nextauthjs/next-auth,JavaScript,4029,36,0,123,8,12.9,25,381,271,3.0,8,0.61051
275,django-crispy-forms,https://github.com/django-crispy-forms/django-crispy-forms,Python,4072,146,1,213,9,1.2,4,57,38,1.8,401,0.60856
802,ModSecurity,https://github.com/SpiderLabs/ModSecurity,C++,4036,170,0,90,9,0.9,1,169,119,2.8,342,0.60839
573,WebGoat,https://github.com/WebGoat/WebGoat,JavaScript,3657,174,1,131,7,2.5,1,65,47,1.0,4763,0.60819
782,pycodestyle,https://github.com/PyCQA/pycodestyle,Python,4218,174,0,124,6,0.5,3,20,12,2.7,1888,0.60767
825,mapbox-gl-native,https://github.com/mapbox/mapbox-gl-native,C++,3934,85,4,230,3,10.2,16,112,42,0.5,4766,0.60755
89,yakyak,https://github.com/yakyak/yakyak,CoffeeScript,3830,69,0,114,9,3.1,16,104,69,2.1,64,0.60721
10,vim-snippets,https://github.com/honza/vim-snippets,Vim Snippet,3747,116,0,574,10,2.0,0,38,35,0.3,660,0.60634
1499,vim-polyglot,https://github.com/sheerun/vim-polyglot,Vim script,4084,89,0,35,5,6.5,20,87,86,3.0,246,0.60531
743,Nimble,https://github.com/Quick/Nimble,Swift,3939,80,1,115,11,1.9,14,21,9,0.9,1746,0.60458
271,ktlint,https://github.com/pinterest/ktlint,Kotlin,3943,54,0,89,9,3.7,8,161,118,1.0,357,0.60415
987,documentation,https://github.com/raspberrypi/documentation,Python,3693,84,0,407,4,7.3,0,136,100,2.1,253,0.6032
1377,Carp,https://github.com/carp-lang/Carp,Haskell,3735,61,0,59,5,15.4,7,277,197,2.8,108,0.60316
465,osrm-backend,https://github.com/Project-OSRM/osrm-backend,C++,4139,128,0,158,7,1.5,1,121,83,1.6,476,0.60258
948,gopass,https://github.com/gopasspw/gopass,Go,3751,48,0,145,6,4.8,9,104,64,2.4,149,0.60239
1426,marathon,https://github.com/mesosphere/marathon,Scala,3992,92,2,334,6,1.2,38,36,33,0.4,1034,0.60063
683,reactivesearch,https://github.com/appbaseio/reactivesearch,JavaScript,4296,47,0,54,8,5.5,89,63,41,1.0,508,0.59987
315,appwrite,https://github.com/appwrite/appwrite,JavaScript,3883,21,0,138,6,21.6,7,186,103,2.0,127,0.59964
812,zsh-completions,https://github.com/zsh-users/zsh-completions,Shell,4062,115,0,246,5,1.5,4,20,15,2.1,468,0.59951
250,haml,https://github.com/haml/haml,Ruby,3546,177,0,174,8,0.7,2,10,8,1.4,1739,0.59945
1334,brython,https://github.com/brython-dev/brython,Python,4123,77,0,87,4,13.0,6,76,56,1.9,385,0.59909
972,ngx-datatable,https://github.com/swimlane/ngx-datatable,TypeScript,4166,56,0,163,8,0.7,33,110,26,0.9,273,0.5989
1469,react-native-gesture-handler,https://github.com/software-mansion/react-native-gesture-handler,Java,3800,51,0,146,7,1.9,8,207,138,1.8,147,0.59839
1279,btcd,https://github.com/btcsuite/btcd,Go,4051,93,1,148,8,1.6,1,62,26,2.0,1492,0.59817
1347,phinx,https://github.com/cakephp/phinx,PHP,4085,110,1,319,8,4.5,8,67,37,1.2,69,0.59782
