name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
aem-project-archetype,https://github.com/adobe/aem-project-archetype,JavaScript,"License(name=""Other"")",325,78,0,72,6,3.4,2,62,40,0.8,2,0.46492
fslang-design,https://github.com/fsharp/fslang-design,,,333,80,0,70,5,4.4,0,16,14,0.7,30,0.46454
modmailbot,https://github.com/Dragory/modmailbot,JavaScript,"License(name=""MIT License"")",333,50,1,25,1,5.8,9,96,47,1.3,179,0.46399
massiv,https://github.com/lehins/massiv,Haskell,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",325,48,0,17,8,3.4,14,12,6,0.9,13,0.46239
react-select-search,https://github.com/tbleckert/react-select-search,JavaScript,"License(name=""MIT License"")",335,70,1,26,6,2.7,11,39,16,1.6,6,0.46119
shiny.semantic,https://github.com/Appsilon/shiny.semantic,CSS,"License(name=""Other"")",331,52,0,30,6,6.7,2,41,30,0.7,12,0.46014
eslint-plugin-html,https://github.com/BenoitZugmeyer/eslint-plugin-html,JavaScript,"License(name=""ISC License"")",329,71,2,23,8,0.6,9,4,1,0.5,334,0.46002
OpenID-Connect-PHP,https://github.com/jumbojett/OpenID-Connect-PHP,PHP,"License(name=""Apache License 2.0"")",325,99,2,65,6,0.4,3,25,3,1.5,29,0.45965
buildpack-deps,https://github.com/docker-library/buildpack-deps,Shell,"License(name=""MIT License"")",330,81,1,13,7,0.2,0,10,10,2.2,410,0.45952
e2guardian,https://github.com/e2guardian/e2guardian,HTML,"License(name=""GNU General Public License v2.0"")",327,91,2,30,3,0.0,5,29,14,1.6,227,0.45892
RTL,https://github.com/Ride-The-Lightning/RTL,TypeScript,"License(name=""MIT License"")",327,29,0,20,6,2.5,16,83,64,1.5,3,0.45808
